id,start_x,start_y,start_theta,start_k,goal_x,goal_y,goal_theta,goal_k,baseline_success,baseline_time,baseline_params,baseline_steps,proposed_success,proposed_time,proposed_params,proposed_steps
34,0.0,0.0,0.0,0.0,1.0,0.0,-3.141592653589793,1.0,True,0.1732769012451172,"7.341490830170117,-11.56033427579463,3.4927446821714145,2.520575668456616",72,True,0.11442089080810547,"0.08326287112679265,-3.73905301382594,0.9221769137682079",56
35,0.0,0.0,0.0,0.5,1.0,0.0,0.0,-1.0,True,0.04782295227050781,"-7.460411838210327,20.881825956111502,-14.909850536738382,1.0003670370331146",50,True,0.018631935119628906,"-0.19521939307384695,0.34162984543293756,0.00029145537045094247",20
36,0.0,0.0,0.0,0.5,1.0,0.0,0.5235987755982987,-1.0,True,0.04680991172790527,"-18.58073535048484,57.784747937035185,-39.71397110979422,1.0398227408811298",49,True,0.03714632987976074,"-0.6493635156310194,2.137691256557271,0.03829682307126505",40
37,0.0,0.0,0.0,0.5,1.0,0.0,1.0471975511965974,-1.0,True,0.08045029640197754,"-24.495282547726376,71.0637447472374,-44.27889486221323,1.1489536664098596",48,True,0.0701453685760498,"-0.9479095022785767,3.5264964240520014,0.1382840552335916",46
38,0.0,0.0,0.0,0.5,1.0,0.0,1.5707963267948966,-1.0,True,0.1145942211151123,"-24.06284073203964,60.63695039485746,-32.41531368954516,1.3436607556105216",53,True,0.09525656700134277,"-1.0281383442485963,4.299036051901916,0.29442107399711104",50
39,0.0,0.0,0.0,0.5,1.0,0.0,2.094395102393195,-1.0,True,0.13340091705322266,"-19.499735775425265,40.923807992951524,-18.06965195285078,1.6359842202921508",60,True,0.10335278511047363,"-0.8970946926285536,4.470926395757438,0.4900807956905732",52
40,0.0,0.0,0.0,0.5,1.0,0.0,2.617993877991494,-1.0,True,0.16063165664672852,"-14.181405790107476,24.625012964049183,-8.918971396599993,2.0120220335388073",67,True,0.10953807830810547,"-0.6294113874921682,4.263359503110005,0.6965774639420244",54
41,0.0,0.0,0.0,0.5,1.0,0.0,-3.141592653589793,-1.0,True,0.16059017181396484,"6.808057259267661,-13.616569086616241,4.709523690342708,2.149378668804105",67,True,0.11135673522949219,"0.1231659587483933,-3.8500617131440653,0.7634141764127361",55
42,0.0,0.0,0.0,0.5,1.0,0.0,0.0,-0.5,True,0.044808149337768555,"-5.960871736676169,14.905307230242673,-9.938108705240742,0.9998745453991388",47,True,0.014698982238769531,"-0.16596469790332571,0.1659646979033366,-9.005030329074027e-05",16
43,0.0,0.0,0.0,0.5,1.0,0.0,0.5235987755982987,-0.5,True,0.043584585189819336,"-17.26409780417974,52.91726147863983,-35.918482169277546,1.0344113758179836",45,True,0.03629779815673828,"-0.633558428365085,1.9619042243413674,0.0333663650593698",39
44,0.0,0.0,0.0,0.5,1.0,0.0,1.0471975511965974,-0.5,True,0.07967662811279297,"-23.68179752732424,68.71990799787032,-42.81507280953073,1.1361950585216662",45,True,0.07340717315673828,"-0.9429579058118867,3.3814065667166684,0.12780282852863822",46
45,0.0,0.0,0.0,0.5,1.0,0.0,1.5707963267948966,-0.5,True,0.11090373992919922,"-23.881103184697334,60.80611821103406,-32.81549843780367,1.3183894526021234",50,True,0.09421086311340332,"-1.0394590656009928,4.200486639339212,0.2759216000642166",49
46,0.0,0.0,0.0,0.5,1.0,0.0,2.094395102393195,-0.5,True,0.13094067573547363,"-19.831381257358956,42.47494149959845,-19.117649608871865,1.5897910312767527",58,True,0.10517501831054688,"-0.9288270042354155,4.4336896013610145,0.4619224775710072",52
47,0.0,0.0,0.0,0.5,1.0,0.0,2.617993877991494,-0.5,True,0.1560664176940918,"-14.7905228516101,26.466314072937845,-9.865771653293463,1.9345516363751878",65,True,0.11150813102722168,"-0.6812619697494275,4.286355242558455,0.6576714342831532",54
48,0.0,0.0,0.0,0.5,1.0,0.0,-3.141592653589793,-0.5,True,0.16709113121032715,"6.4007313831274955,-12.47968604332255,4.200479374345129,2.2444161669552267",69,True,0.11219620704650879,"0.06556772416648785,-3.7951608679020095,0.8066749662505776",56
49,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,True,0.040448665618896484,"-4.452014542496543,8.91159769952777,-4.954151316794002,0.9996247025426366",42,True,0.020543813705444336,"-0.1669585281947862,0.016704714875482352,-3.045927693066953e-07",22
50,0.0,0.0,0.0,0.5,1.0,0.0,0.5235987755982987,0.0,True,0.037587642669677734,"-15.8621274770542,47.72750426621044,-31.850863850045002,1.029175148813191",39,True,0.035347700119018555,"-0.6173111724496633,1.785375586439205,0.02892095597290698",38
